rating,title,genres
3.0,Entrapment (1999),Crime|Thriller
4.0,For Whom the Bell Tolls (1943),Adventure|Drama|Romance|War
4.0,"Emperor's New Groove, The (2000)",Adventure|Animation|Children|Comedy|Fantasy
2.0,Red Planet (2000),Action|Sci-Fi|Thriller
2.0,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
3.0,"Island of Dr. Moreau, The (1996)",Sci-Fi|Thriller
5.0,Silver Linings Playbook (2012),Comedy|Drama
2.0,Pitch Black (2000),Horror|Sci-Fi|Thriller
2.5,Fantastic Four (2005),Action|Adventure|Sci-Fi
3.0,Jumanji (1995),Adventure|Children|Fantasy
4.0,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi
5.0,"Boot, Das (Boat, The) (1981)",Action|Drama|War
5.0,Brazil (1985),Fantasy|Sci-Fi
3.0,Lifeboat (1944),Drama|War
3.5,Rain Man (1988),Drama
4.0,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
3.5,Screamers (1995),Action|Sci-Fi|Thriller
1.0,Margot at the Wedding (2007),Drama
4.0,Help! (1965),Comedy|Musical
2.5,Smokin' Aces (2006),Action|Crime|Drama|Thriller
3.0,"Misérables, Les (2012)",Drama|Musical|Romance|IMAX
3.0,"Russia House, The (1990)",Drama|Thriller
2.0,Ghostbusters II (1989),Comedy|Fantasy|Sci-Fi
5.0,Chicken Run (2000),Animation|Children|Comedy
4.0,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
5.0,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
3.0,Dune (1984),Adventure|Sci-Fi
3.5,Dawn of the Dead (1978),Action|Drama|Horror
1.0,Little Women (1994),Drama
3.5,Birdman: Or (The Unexpected Virtue of Ignorance) (2014),Comedy|Drama
4.5,Natural Born Killers (1994),Action|Crime|Thriller
4.5,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
4.0,Double Indemnity (1944),Crime|Drama|Film-Noir
4.5,1408 (2007),Drama|Horror|Thriller
4.5,Aliens (1986),Action|Adventure|Horror|Sci-Fi
5.0,Out of Sight (1998),Comedy|Crime|Drama|Romance|Thriller
4.0,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
4.0,Braveheart (1995),Action|Drama|War
3.0,Beetlejuice (1988),Comedy|Fantasy
5.0,Searching for Bobby Fischer (1993),Drama
4.0,28 Days Later (2002),Action|Horror|Sci-Fi
4.0,"Truth About Cats & Dogs, The (1996)",Comedy|Romance
4.5,Steel Magnolias (1989),Drama
4.5,Gladiator (2000),Action|Adventure|Drama
4.0,Night Watch (Nochnoy dozor) (2004),Action|Fantasy|Horror|Mystery|Sci-Fi|Thriller
4.0,Australia (2008),Adventure|Drama|War|Western
4.0,Key Largo (1948),Crime|Drama|Film-Noir|Thriller
3.0,"Naked Gun 2 1/2: The Smell of Fear, The (1991)",Comedy
2.0,Vanilla Sky (2001),Mystery|Romance|Sci-Fi|Thriller
2.5,Crimes and Misdemeanors (1989),Comedy|Crime|Drama
4.0,Midnight in the Garden of Good and Evil (1997),Crime|Drama|Mystery
2.0,World Trade Center (2006),Drama
1.0,Made in U.S.A. (1966),Crime|Mystery
4.0,What Women Want (2000),Comedy|Romance
4.0,"Cotton Club, The (1984)",Crime|Musical
2.0,Mrs. Doubtfire (1993),Comedy|Drama
4.5,Blade Runner (1982),Action|Sci-Fi|Thriller
4.0,Harold and Maude (1971),Comedy|Drama|Romance
5.0,Let the Right One In (Låt den rätte komma in) (2008),Drama|Fantasy|Horror|Romance
4.5,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy
3.5,"Terminator, The (1984)",Action|Sci-Fi|Thriller
5.0,Four Rooms (1995),Comedy
5.0,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
5.0,xXx (2002),Action|Crime|Thriller
4.0,End of Days (1999),Action|Fantasy|Horror|Mystery|Thriller
3.0,Batman Forever (1995),Action|Adventure|Comedy|Crime
2.5,Beyond the Lights (2014),Drama
4.5,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
1.5,Charlie's Angels: Full Throttle (2003),Action|Adventure|Comedy|Crime|Thriller
4.5,Blood Simple (1984),Crime|Drama|Film-Noir
5.0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2.0,Babylon A.D. (2008),Action|Adventure|Sci-Fi|Thriller
1.5,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi
4.0,Bedknobs and Broomsticks (1971),Adventure|Children|Musical
5.0,"Chase, The (1994)",Action|Adventure|Comedy|Crime|Romance|Thriller
3.0,Up (2009),Adventure|Animation|Children|Drama
3.0,Bride Wars (2009),Comedy|Romance
2.0,Wild Wild West (1999),Action|Comedy|Sci-Fi|Western
2.5,Cruel Intentions (1999),Drama
3.5,East is East (1999),Comedy
2.0,Once (2006),Drama|Musical|Romance
3.0,"Candidate, The (1972)",Drama
3.0,Hook (1991),Adventure|Comedy|Fantasy
4.0,Schindler's List (1993),Drama|War
5.0,Casino Royale (2006),Action|Adventure|Thriller
3.0,"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920)",Crime|Fantasy|Horror
4.5,Star Trek (2009),Action|Adventure|Sci-Fi|IMAX
4.0,Chasing Amy (1997),Comedy|Drama|Romance
3.0,Mad Max Beyond Thunderdome (1985),Action|Adventure|Sci-Fi
3.0,Aces: Iron Eagle III (1992),Action
3.5,Flubber (1997),Children|Comedy|Fantasy
4.0,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi
5.0,Stepmom (1998),Drama
3.5,Ghost Dog: The Way of the Samurai (1999),Crime|Drama
2.0,Darkness Falls (2003),Horror|Thriller
4.0,Carlito's Way (1993),Crime|Drama
3.5,Mirrors (2008),Horror|Mystery|Thriller
4.5,Sin City (2005),Action|Crime|Film-Noir|Mystery|Thriller
2.0,Driving Miss Daisy (1989),Drama
4.0,My Name Is Bruce (2007),Comedy|Horror
3.5,"Good Morning, Vietnam (1987)",Comedy|Drama|War
5.0,Amadeus (1984),Drama
4.0,"General, The (1926)",Comedy|War
4.5,"Green Mile, The (1999)",Crime|Drama
1.5,Dirty Dancing (1987),Drama|Musical|Romance
4.0,"Palm Beach Story, The (1942)",Comedy
3.5,Blades of Glory (2007),Comedy|Romance
5.0,"Shawshank Redemption, The (1994)",Crime|Drama
4.0,Quiz Show (1994),Drama
4.5,Notorious (1946),Film-Noir|Romance|Thriller
2.5,Sliding Doors (1998),Drama|Romance
4.0,Grosse Pointe Blank (1997),Comedy|Crime|Romance
4.0,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
3.0,Mr. & Mrs. Smith (2005),Action|Adventure|Comedy|Romance
1.5,Home Alone 3 (1997),Children|Comedy
2.5,3 Women (Three Women) (1977),Drama
3.5,Apocalypse Now (1979),Action|Drama|War
3.0,Restrepo (2010),Documentary|War
3.0,Pump Up the Volume (1990),Comedy|Drama
2.5,Easy A (2010),Comedy|Romance
5.0,"Boy in the Striped Pajamas, The (Boy in the Striped Pyjamas, The) (2008)",Drama|War
1.0,American Wedding (American Pie 3) (2003),Comedy
3.0,Monty Python's The Meaning of Life (1983),Comedy
4.0,Quick Change (1990),Comedy|Crime
4.0,Labyrinth (1986),Adventure|Fantasy|Musical
3.5,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery
4.5,Forrest Gump (1994),Comedy|Drama|Romance|War
2.0,Romy and Michele's High School Reunion (1997),Comedy
3.5,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi
2.0,Holy Man (1998),Comedy
4.0,Psycho (1960),Crime|Horror
4.0,"Hudsucker Proxy, The (1994)",Comedy
4.0,The Lego Movie (2014),Action|Adventure|Animation|Children|Comedy|Fantasy
4.0,Spy Kids (2001),Action|Adventure|Children|Comedy
4.5,Shrek 2 (2004),Adventure|Animation|Children|Comedy|Musical|Romance
3.5,John Wick (2014),Action|Thriller
4.0,Sneakers (1992),Action|Comedy|Crime|Drama|Sci-Fi
4.0,Crash (1996),Drama|Thriller
4.0,Apollo 13 (1995),Adventure|Drama|IMAX
3.0,"Untouchables, The (1987)",Action|Crime|Drama
4.5,American History X (1998),Crime|Drama
4.0,Dead Poets Society (1989),Drama
3.0,"Firm, The (1993)",Drama|Thriller
2.0,Children of the Corn (1984),Horror|Thriller
5.0,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
2.5,Starship Troopers (1997),Action|Sci-Fi
2.0,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
3.0,Spy Hard (1996),Comedy
3.5,Over the Hedge (2006),Adventure|Animation|Children|Comedy
4.0,Taken (2008),Action|Crime|Drama|Thriller
4.0,Judgment at Nuremberg (1961),Drama
5.0,Notting Hill (1999),Comedy|Romance
2.5,"Tailor of Panama, The (2001)",Drama|Thriller
3.0,"Jungle Book, The (1967)",Animation|Children|Comedy|Musical
5.0,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi
1.5,Shanghai Noon (2000),Action|Adventure|Comedy|Western
5.0,Charlie's Angels (2000),Action|Comedy
1.0,Alien³ (a.k.a. Alien 3) (1992),Action|Horror|Sci-Fi|Thriller
4.0,Turner & Hooch (1989),Comedy|Crime
3.0,Species (1995),Horror|Sci-Fi
4.0,When Harry Met Sally... (1989),Comedy|Romance
3.0,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
3.5,"Frozen Ground, The (2013)",Crime|Drama|Thriller
4.0,"Crying Game, The (1992)",Drama|Romance|Thriller
3.0,True Romance (1993),Crime|Thriller
2.5,Serial Mom (1994),Comedy|Crime|Horror
4.0,Harry Potter and the Order of the Phoenix (2007),Adventure|Drama|Fantasy|IMAX
4.0,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical
5.0,One Flew Over the Cuckoo's Nest (1975),Drama
1.0,Howards End (1992),Drama
1.0,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller
5.0,"Avengers, The (2012)",Action|Adventure|Sci-Fi|IMAX
5.0,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
5.0,All That Jazz (1979),Drama|Fantasy|Musical
2.5,In the Loop (2009),Comedy
3.0,"Godfather, The (1972)",Crime|Drama
4.0,Black Hawk Down (2001),Action|Drama|War
3.0,Welcome to Collinwood (2002),Comedy|Crime
5.0,Amores Perros (Love's a Bitch) (2000),Drama|Thriller
3.5,Oliver Twist (1948),Adventure|Crime|Drama
2.0,Possession (2002),Drama|Romance
1.0,Powder (1995),Drama|Sci-Fi
3.0,What About Bob? (1991),Comedy
4.5,Robin Hood: Men in Tights (1993),Comedy
3.0,U Turn (1997),Crime|Drama|Mystery
3.5,Adventures in Babysitting (1987),Adventure|Comedy
3.5,Happy Christmas (2014),Comedy|Drama
3.0,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
1.5,Superman Returns (2006),Action|Adventure|Sci-Fi|IMAX
3.5,"Brady Bunch Movie, The (1995)",Comedy
4.0,Signs (2002),Horror|Sci-Fi|Thriller
3.5,Mean Girls (2004),Comedy
4.0,Sister Act (1992),Comedy|Crime
5.0,Dirty Work (1998),Comedy
3.0,"Birds, The (1963)",Horror|Thriller
4.5,And Your Mother Too (Y tu mamá también) (2001),Drama|Romance
4.0,White Men Can't Jump (1992),Comedy|Drama
2.0,Hannibal (2001),Horror|Thriller
3.5,Dances with Wolves (1990),Adventure|Drama|Western
4.0,Picnic at Hanging Rock (1975),Drama|Mystery
4.0,101 Dalmatians (1996),Adventure|Children|Comedy
2.0,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
4.0,Reality Bites (1994),Comedy|Drama|Romance
5.0,Bring It On (2000),Comedy
4.0,Edward Scissorhands (1990),Drama|Fantasy|Romance
4.0,Blue Streak (1999),Comedy
4.0,Die Hard 2 (1990),Action|Adventure|Thriller
3.0,Young and Innocent (1937),Crime|Thriller
5.0,Black Swan (2010),Drama|Thriller
4.0,Deep Impact (1998),Drama|Sci-Fi|Thriller
4.5,Awakenings (1990),Drama|Mystery
5.0,Spartan (2004),Thriller
3.0,Happy Gilmore (1996),Comedy
3.5,Magnolia (1999),Drama
5.0,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
3.5,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller
3.0,Enchanted April (1992),Drama|Romance
4.0,"Thing, The (1982)",Action|Horror|Sci-Fi|Thriller
2.5,Judge Dredd (1995),Action|Crime|Sci-Fi
0.5,"Texas Chainsaw Massacre, The (2003)",Horror
4.0,"Expendables 2, The (2012)",Action|Adventure
3.0,Foxy Brown (1974),Action|Crime|Drama
4.0,Fight Club (1999),Action|Crime|Drama|Thriller
3.0,My Life (1993),Drama
3.5,25th Hour (2002),Crime|Drama
3.5,Larry the Cable Guy: Health Inspector (2006),Comedy
4.0,"Wings of Desire (Himmel über Berlin, Der) (1987)",Drama|Fantasy|Romance
4.0,Maverick (1994),Adventure|Comedy|Western
4.0,Love's Labour's Lost (2000),Comedy|Romance
4.0,Little Big Man (1970),Western
1.0,Book of Shadows: Blair Witch 2 (2000),Crime|Horror|Mystery|Thriller
1.0,StageFright: Aquarius (1987),Horror|Thriller
3.5,"Lover, The (Amant, L') (1992)",Drama|Romance
3.0,Pride & Prejudice (2005),Drama|Romance
4.0,101 Dalmatians (One Hundred and One Dalmatians) (1961),Adventure|Animation|Children
5.0,Twister (1996),Action|Adventure|Romance|Thriller
2.5,Phone Booth (2002),Drama|Thriller
4.0,Beavis and Butt-Head Do America (1996),Adventure|Animation|Comedy|Crime
3.0,Gates of Heaven (1978),Documentary
4.0,Fargo (1996),Comedy|Crime|Drama|Thriller
2.0,"Whole Nine Yards, The (2000)",Comedy|Crime
3.0,Army of Darkness (1993),Action|Adventure|Comedy|Fantasy|Horror
4.0,Jerry Maguire (1996),Drama|Romance
4.0,Armageddon (1998),Action|Romance|Sci-Fi|Thriller
2.0,"Black Dahlia, The (2006)",Crime|Drama|Mystery|Thriller
5.0,Manon of the Spring (Manon des sources) (1986),Drama
1.0,"Box, The (2009)",Drama|Horror|Mystery|Sci-Fi|Thriller
3.5,October Sky (1999),Drama
4.0,Clerks (1994),Comedy
3.5,"Land Before Time, The (1988)",Adventure|Animation|Children|Fantasy
3.5,Gone with the Wind (1939),Drama|Romance|War
5.0,Arlington Road (1999),Thriller
4.0,"Nightmare on Elm Street, A (1984)",Horror|Thriller
4.0,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
1.0,Cliffhanger (1993),Action|Adventure|Thriller
2.0,Crimson Tide (1995),Drama|Thriller|War
4.0,Jagged Edge (1985),Crime|Romance|Thriller
3.0,Demolition Man (1993),Action|Adventure|Sci-Fi
4.0,Waiting to Exhale (1995),Comedy|Drama|Romance
1.0,Cannonball Run II (1984),Action|Comedy
4.0,Go (1999),Comedy|Crime
4.0,Sister Act 2: Back in the Habit (1993),Comedy
2.0,"Party, The (1968)",Comedy
3.0,Executive Decision (1996),Action|Adventure|Thriller
3.0,"Air Up There, The (1994)",Comedy
4.0,Stoker (2013),Drama|Mystery|Thriller
2.5,Kate & Leopold (2001),Comedy|Romance
3.0,Rocky (1976),Drama
2.5,Lucky Number Slevin (2006),Crime|Drama|Mystery
3.0,I Am Legend (2007),Action|Horror|Sci-Fi|Thriller|IMAX
3.0,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
3.0,Prefontaine (1997),Drama
2.0,Marked for Death (1990),Action|Drama
1.5,"Black Orchid, The (1958)",Drama
2.0,Eraser (1996),Action|Drama|Thriller
4.5,"Fist of Fury (Chinese Connection, The) (Jing wu men) (1972)",Action|Drama|Romance|Thriller
4.5,Broken Flowers (2005),Comedy|Drama
4.5,Ruthless People (1986),Comedy
4.5,Office Space (1999),Comedy|Crime
3.0,FairyTale: A True Story (1997),Children|Drama|Fantasy
4.0,His Girl Friday (1940),Comedy|Romance
4.0,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi|Thriller
4.5,"Hunt for Red October, The (1990)",Action|Adventure|Thriller
5.0,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
4.0,Sleepless in Seattle (1993),Comedy|Drama|Romance
4.0,"Social Network, The (2010)",Drama
2.0,"King of Marvin Gardens, The (1972)",Crime|Drama
3.0,Moon (2009),Drama|Mystery|Sci-Fi|Thriller
2.5,Contact (1997),Drama|Sci-Fi
3.5,Raising Arizona (1987),Comedy
3.0,Coming to America (1988),Comedy|Romance
2.5,"Daytrippers, The (1996)",Comedy|Drama|Mystery|Romance
2.5,Look Who's Talking Too (1990),Comedy|Romance
4.0,Soul Food (1997),Drama
1.0,Three Men and a Little Lady (1990),Comedy|Romance
4.0,Jingle All the Way (1996),Children|Comedy
4.0,Monty Python's Life of Brian (1979),Comedy
3.0,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
5.0,"Exorcist, The (1973)",Horror|Mystery
4.0,Antz (1998),Adventure|Animation|Children|Comedy|Fantasy
2.0,Runaway Bride (1999),Comedy|Romance
3.0,Dragonheart (1996),Action|Adventure|Fantasy
4.0,Gattaca (1997),Drama|Sci-Fi|Thriller
5.0,In the Line of Fire (1993),Action|Thriller
3.5,Old School (2003),Comedy
3.0,"Omen, The (1976)",Horror|Mystery|Thriller
4.0,Lawrence of Arabia (1962),Adventure|Drama|War
4.0,Shane (1953),Drama|Western
4.0,Sabrina (1954),Comedy|Romance
3.5,X-Men (2000),Action|Adventure|Sci-Fi
3.0,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy
3.0,Mulan (1998),Adventure|Animation|Children|Comedy|Drama|Musical|Romance
3.0,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller
5.0,Gran Torino (2008),Crime|Drama
4.0,To Live (Huozhe) (1994),Drama
3.0,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
2.5,How to Succeed in Business Without Really Trying (1967),Comedy|Musical
4.0,"13th Warrior, The (1999)",Action|Adventure|Fantasy
4.0,Spawn (1997),Action|Adventure|Sci-Fi|Thriller
4.0,Vantage Point (2008),Action|Drama|Thriller
3.5,Nightwatching (2007),Drama|Mystery
3.0,Speed (1994),Action|Romance|Thriller
2.5,"History Boys, The (2006)",Comedy|Drama
5.0,Chariots of Fire (1981),Drama
4.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
3.0,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
4.5,"Maltese Falcon, The (1941)",Film-Noir|Mystery
1.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
2.0,Saw V (2008),Crime|Horror|Thriller
2.0,Dumbo (1941),Animation|Children|Drama|Musical
3.5,"Beautiful Mind, A (2001)",Drama|Romance
2.0,Bowling for Columbine (2002),Documentary
5.0,Dark City (1998),Adventure|Film-Noir|Sci-Fi|Thriller
4.5,Session 9 (2001),Horror|Thriller
2.0,Back to School (1986),Comedy
4.0,Smoke (1995),Comedy|Drama
5.0,Hard-Boiled (Lat sau san taam) (1992),Action|Crime|Drama|Thriller
4.5,Face/Off (1997),Action|Crime|Drama|Thriller
5.0,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972),Comedy
5.0,"Bourne Identity, The (2002)",Action|Mystery|Thriller
3.5,"Beautiful Country, The (2004)",Drama
5.0,Bad Santa (2003),Comedy|Crime
4.0,Inglourious Basterds (2009),Action|Drama|War
3.5,One Hour Photo (2002),Drama|Thriller
4.0,Moonstruck (1987),Comedy|Romance
4.0,"Little Princess, A (1995)",Children|Drama
3.5,Popeye (1980),Adventure|Comedy|Musical
4.0,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
3.0,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
2.0,Dark Water (2005),Drama|Horror|Thriller
4.0,"Client, The (1994)",Drama|Mystery|Thriller
4.0,Space Cowboys (2000),Action|Adventure|Comedy|Sci-Fi
4.5,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy
5.0,Kids in the Hall: Brain Candy (1996),Comedy
4.0,"Breaking Point, The (1950)",Crime|Drama|Film-Noir
3.0,Casino (1995),Crime|Drama
1.0,All Dogs Go to Heaven (1989),Animation|Children|Comedy|Drama|Fantasy
3.0,Burglar (1987),Comedy|Crime
4.0,Beauty of the Day (Belle de jour) (1967),Drama
3.5,About Schmidt (2002),Comedy|Drama
5.0,To Kill a Mockingbird (1962),Drama
3.0,Thelma & Louise (1991),Adventure|Crime|Drama
2.5,BASEketball (1998),Comedy
1.5,Kingpin (1996),Comedy
4.0,Killing Them Softly (2012),Crime|Drama|Thriller
4.5,Thank You for Smoking (2006),Comedy|Drama
3.5,"Wrestler, The (2008)",Drama
3.0,Reversal of Fortune (1990),Drama
4.0,Zoolander (2001),Comedy
3.0,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
2.0,Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller
3.0,American Gangster (2007),Crime|Drama|Thriller
2.5,Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western
1.5,Jack-Jack Attack (2005),Adventure|Animation|Children|Comedy
3.5,"Turning Point, The (1977)",Drama|Romance
5.0,"Royal Tenenbaums, The (2001)",Comedy|Drama
2.0,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
3.0,"Cabin in the Woods, The (2012)",Comedy|Horror|Sci-Fi|Thriller
5.0,Cat's Eye (1985),Horror
3.0,Mickey Blue Eyes (1999),Comedy|Romance
1.0,Mixed Nuts (1994),Comedy
2.5,Live Wire (1992),Action
4.0,"Dinner Game, The (Dîner de cons, Le) (1998)",Comedy
4.5,Harry Potter and the Half-Blood Prince (2009),Adventure|Fantasy|Mystery|Romance|IMAX
1.0,Misery (1990),Drama|Horror|Thriller
4.0,Animal House (1978),Comedy
4.0,"Walk in the Sun, A (1945)",War
1.0,Bride of Chucky (Child's Play 4) (1998),Comedy|Horror|Thriller
2.5,No Way Out (1987),Drama|Mystery|Thriller
3.0,"Mosquito Coast, The (1986)",Adventure|Drama|Thriller
3.0,Born on the Fourth of July (1989),Drama|War
5.0,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
2.0,Collateral Damage (2002),Action|Thriller
2.0,Valkyrie (2008),Drama|Thriller|War
4.5,Alien (1979),Horror|Sci-Fi
1.0,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),Horror|Thriller
2.5,Waterworld (1995),Action|Adventure|Sci-Fi
4.0,Boogie Nights (1997),Drama
2.0,"Van, The (1996)",Comedy|Drama
3.0,Live and Let Die (1973),Action|Adventure|Thriller
4.0,"Last Starfighter, The (1984)",Action|Adventure|Comedy|Sci-Fi
5.0,Star Wars: Episode VII - The Force Awakens (2015),Action|Adventure|Fantasy|Sci-Fi
3.0,The Wild One (1953),Drama
4.0,Predator (1987),Action|Sci-Fi|Thriller
5.0,Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama
5.0,Reservoir Dogs (1992),Crime|Mystery|Thriller
3.0,Mission: Impossible - Ghost Protocol (2011),Action|Adventure|Thriller|IMAX
4.0,Twin Peaks: Fire Walk with Me (1992),Crime|Drama|Mystery|Thriller
4.0,Harvey (1950),Comedy|Fantasy
3.0,Pinocchio (1940),Animation|Children|Fantasy|Musical
4.0,Austin Powers in Goldmember (2002),Comedy
4.0,Talk to Her (Hable con Ella) (2002),Drama|Romance
0.5,Scott Pilgrim vs. the World (2010),Action|Comedy|Fantasy|Musical|Romance
5.0,"Bourne Ultimatum, The (2007)",Action|Crime|Thriller
2.5,Deadfall (2012),Crime|Drama|Thriller
1.5,Pirates of the Caribbean: At World's End (2007),Action|Adventure|Comedy|Fantasy
2.5,"Midnight Meat Train, The (2008)",Horror|Mystery|Thriller
3.0,Hollow Man (2000),Horror|Sci-Fi|Thriller
4.0,"Talented Mr. Ripley, The (1999)",Drama|Mystery|Thriller
3.0,Scary Movie (2000),Comedy|Horror
4.5,Mad Max (1979),Action|Adventure|Sci-Fi
3.0,Napoleon Dynamite (2004),Comedy
2.5,2012 (2009),Action|Drama|Sci-Fi|Thriller
4.0,On the Waterfront (1954),Crime|Drama
3.5,Close Encounters of the Third Kind (1977),Adventure|Drama|Sci-Fi
5.0,Indiana Jones and the Last Crusade (1989),Action|Adventure
2.5,"Girlfriend Experience, The (2009)",Drama
3.0,"Relic, The (1997)",Horror|Thriller
5.0,"Sixth Sense, The (1999)",Drama|Horror|Mystery
3.5,Cape Fear (1991),Thriller
4.0,Overboard (1987),Comedy|Romance
4.0,High Fidelity (2000),Comedy|Drama|Romance
3.0,"Blair Witch Project, The (1999)",Drama|Horror|Thriller
2.0,All of Me (1984),Comedy|Fantasy
3.0,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
3.0,Emma (1996),Comedy|Drama|Romance
3.0,Billy Elliot (2000),Drama
4.0,"Bachelor and the Bobby-Soxer, The (1947)",Comedy
3.0,Tron (1982),Action|Adventure|Sci-Fi
3.5,Wall Street (1987),Drama
3.0,Die Hard (1988),Action|Crime|Thriller
3.5,Heat (1995),Action|Crime|Thriller
3.0,Nick of Time (1995),Action|Thriller
4.0,Benny & Joon (1993),Comedy|Romance
3.5,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
